"sector-type","post_title","p_owner","p_client","disciplines","p_location","scope_of_work","project-category","p_status","p_start_date","p_end_date","feature image"
"Oil & Gas","Ph-8 GOX Pipeline Material Replacement","SABIC","Gas Jubail","Plant Services","Jubail","Replacement of existing CS pipe and 02 Nos. with elbows of Monel material during the Ph-8 GOX Pipeline Material Replacement Project ","Normal","Completed","Apr-14","May-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/293.jpg   "
"Petrochemical","Site work installation of Air Comp Unit","SABIC","Ar-Razi","Plant Services","Jubail","EPC job involves Removal / Re-installation of Air Compressor & Auxillaries along with some fabrication & modification work.","Normal","Completed","Mar-14","Dec-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/294.jpg   "
"Petrochemical","Installation of Toluene Drain Line from Vessel-3460 to Column-3610 ","SABIC","UNITED","Plant Services","Jubail","Mechanical work, Toluene drain line to be installed, EPC job for the Installation of Toluene Drain Line from Vessel-3460 to Column-3610 Project. ","Normal","Completed","Mar-14","Aug-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/295.jpg   "
"Petrochemical","PR for LSTK Contract to Provide isolation valve on each exchanger E-2322A/B/C LSTK","SABIC","UNITED","Plant Services","Jubail","LSTK job involving detailed Engineering, Procurement of long lead items. Mechanical works Such as Valve, removal and Re-installation, commissioning, testing along with modification of associate piping.","Normal","Completed","Mar-14","Aug-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/296.jpg   "
"Petrochemical","Install Life Line at PE Bulk Loading","Tasnee","Tasnee","Plant Services","Jubail","Mechanical work along with installation of structure as life line for working for the Install Life Line at PE Bulk Loading Project at Tasnee ","Normal","Completed","May-14","Jul-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/297.jpg   "
"Petrochemical","Diversion of Cooling Water Outlets to the fire water Tank","Tasnee","Tasnee","Plant Services","Jubail","Supply, Fabrication and Erection of Piping Material and Steel Structure Supports Fabrication Works and Civil works.","Normal","Completed","Oct-14","Nov-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/298.jpg   "
"Petrochemical","Replacement of Heat Exchangers 2E-1407 A/B & Associated Piping Works","SABIC","SHARQ","Plant Services","Jubail","The project includes Replacement of Heat Exchangers 2E-1407 A/B & Associated Piping Works during the TAM. ","Normal","Completed","Apr-14","Apr-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/299.jpg   "
"Oil & Gas","Fire Water Supply Pipelines And Fire Protection System At Jubail Industrial Port (KFIP)","SATORP","SATORP","Plant Services","Jubail","EPC Project(LSTK), Scope of Work Involves  Engineering, Complete Procurment & Construction Works
Fire protection system at berth-54 & berth-62
Fire protection system Including supply and installation of foam skids (02 Nos.)
Fire water supply pipelines including fire hydrants along with the open sea tanker terminal (OSTT), interconnection causeway from current terminating point at berth-61 to berth-62.
Potable water supply line extended from berth-61 to berth-62 and terminated to the water utility system at berth-62.
Installation of a new multiplexer RTU at berth-62.
Also involves very Sophisticated Scaffoldding. ","Major","Completed","Mar-14","Oct-16","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/300.jpg   "
"Metal","Replacement of middle burden feeder shaft.","SABIC","HADEED","Plant Services","Jubail","Mechanical Works, removal and re-installation of new Middle burden Shaft at Hadeed plant. ","Normal","Completed","Jan-14","Apr-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/301.jpg   "
"Petrochemical","Upgrade Ejector & Silencer Project Unit 220","SABIC","IBN-ZAHR","Plant Services","Yanbu","LSTK job involving detailed Engineering, Procurement of long lead items, Civil Structure, Piping & instrumentation work such as, Piping Modifcations, replacement of MOVs, Painting & Sand Blasting, NDT, Removal 0f Existing Ejecter & Silincer then Installtion of New Ejecter & Silincer. Silincer Foundation,","Normal","Completed","Feb-14","Oct-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/302.jpg   "
"Oil & Gas","LSTK services for 8"" GAN pipeline to ABS-PK","SABIC","Gas Jubail","Plant Services","Jubail","LSTK Job, Involves Engineering, Procuremnt & construction (Mechanical, Electrical, Civil & Intrumentational Works)","Normal","Completed","Feb-14","Aug-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/303.jpg   "
"Oil & Gas","31-AG-2001 BUTTERFLY VALVE TO BE REPAIR","SABIC","Gas Jubail","Plant Services","Jubail","Installtion Of Betterfly valve & its associate piping","Normal","Completed","Feb-14","Apr-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/304.jpg   "
"Metal","Civil Works for LQ53 ","JESCO","JESCO","Civil Construction","Jubail","Civil & Building Works Package at JESCO plant for unit LQ53. ","Major","Completed","Jul-13","Nov-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/305.jpg   "
"Oil & Gas","Piping & Structure Job for ASU Gas Phase#8","SABIC / Gas Jubail","SAMSUNG","Plant Services","Jubail","Mechanical Structural, Piping, equipment. Installation and  Erection of Cold Box Erection","Normal","Completed","Jan-14","Jun-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/306.jpg   "
"Petrochemical","PR for procurement & construction of Auto Dumpig Area","SABIC","IBN AL-BAYTAR","Plant Services","Jubail","Piping(Procurement & Installation) & Instrumentational Work for the construction of Auto Dumpig Area at IBB. ","Normal","Completed","Mar-14","Apr-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/307.jpg   "
"Oil & Gas","Yanbu III Pump Removal & Re-Installation","LUBREF","LINDE","Plant Services","Yanbu","To remove the existing Sea Water Pumps & Install new Sea Water Pumps and their associate piping.","Normal","Completed","Jan-14","Jul-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/308.jpg   "
"Petrochemical","Construction of 19 NOs, of TIE-IN for 4th Decanter for Reliability Project","TASNEE","TASNEE","Plant Services","Jubail","Piping Tie in at different points on different line sizes (16"", 14"", 8"", 4"", 2"") . (Mechanical Work), 
Procurement of all material & Mechenical Construction.","Normal","Completed","Dec-13","Apr-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/309.jpg   "
"Metal","Cables & Chains Replacement - TSZP000718","SABIC","HADEED","Plant Services","Jubail","Cable laying & Lighting Fixtures Replacement (Electrical Work) at the hadeed plant","Normal","Completed","Jan-14","Feb-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/310.jpg   "
"Petrochemical","Supply of piping and structural materials, installation, testing and commissioning of pressure control valve","SABIC","IBN AL-BAYTAR","Plant Services","Jubail","Resizing Of Pressure Control Valve, Involving Piping modification & Instrumaentation Works.","Normal","Completed","Dec-13","Mar-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/311.jpg   "
"Petrochemical","Construction & Erection of pumps","SABIC","IBN AL-BAYTAR","Plant Services","Jubail","Involves Mechanical, Civil plus E&I 
Involves Procurement & Construction along with testing & commissioning
Includes Removal & Installation of existing pump. Pump associated pipping & fabrication work. Civil Work foundation.","Normal","Completed","Mar-14","Apr-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/312.jpg   "
"Petrochemical","DMDS Platform installation","TASNEE","TASNEE","Plant Services","Jubail","Structure fabrication and erection for DMDS Platform installation Project ","Normal","Completed","Dec-13","Jan-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/313.jpg   "
"Petrochemical","ARV Isolation Valve installation","TASNEE","TASNEE","Plant Services","Jubail","Piping modification for ARV Isolation Valve installation Project ","Normal","Completed","Nov-13","Dec-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/314.jpg   "
"Petrochemical","Outstanding PSSR tank farm","TASNEE","TASNEE","Plant Services","Jubail","Mechanical, Pipipng, Equipment and Structural work for PSSR tank farm Project at Tasnee","Normal","Completed","Nov-13","Dec-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/315.jpg   "
"Petrochemical","Site Constructionn Works For Four (4)  Project During IBB T/A","SABIC","IBN AL-BAYTAR","Plant Services","Jubail","Supply of Piping Material, Fabrication and installation activities during  Four (4)  Project During IBB T/A","Normal","Completed","Nov-13","Mar-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/316.jpg   "
"Petrochemical","Individual Lube Oil Console for BFW pumps 1P-8004A/B/C/D)","SABIC","SHARQ","Plant Services","Jubail","LSTK, Design, Fabrication, Installation & commisioning. Involes all three Dicipline (Mechanical, Civil, E&I)","Normal","Completed","Nov-13","Mar-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/317.jpg   "
"Petrochemical","Replacement of Glycol Pre-Heater 2E-1401 A/B) ","SABIC","SHARQ","Plant Services","Jubail","Removal & Reinstallation Of Pre-Heater during TAM for the Replacement of Glycol Pre-Heater 2E-1401 A/B) Project at SHARQ EG2","Normal","Completed","Nov-13","Apr-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/318.jpg   "
"Petrochemical","Site Construction work","SABIC","YANPET","Plant Services","Yanbu","Construction, Fabirication, Installation involving Procurment activities for 06 different Projects ","Normal","Completed","Nov-13","Feb-15","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/319.jpg   "
"Petrochemical","LSTK Contract For Recovered Water Line","SABIC","SADAF","Plant Services","Jubail","Lump Sum Turnkey project (Design, Supply & Construction for Pipe line of about 8Km in RC corridors.) 
• Detailed Design of the new location of pipeline in RC Corridor.
• Replace the recovery water line, 14 inch Dia
• Procured, prefabricated, supply and constructed at site.
• Cutting, dismantling and removal of the existing, 14 inch recovery water line
• Scaffolding Work
• Electrical and communication ","Major","Completed","Oct-13","Jul-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/320.jpg   "
"Metal","Replacement of Gearbox with motor for weigh feeders in Module-C HADEED","SABIC / HADEED","TAHSEEB ENGINEERING ","Plant Services","Jubail","Dismentling / Re-Installing & Maintenance activities for Gear Box of Wieghing Feeder Motor. (Mechanical Work)","Normal","Completed","Oct-13","Jan-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/321.jpg   "
"Petrochemical","Site Construction work AF-0513139","SABIC","YANPET","Plant Services","Yanbu","Construction, Fabirication, Installation involving Procurment activities for 15 different Projects ","Major","Completed","Oct-13","Feb-15","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/322.jpg   "
"Petrochemical","Slop Drums Discharge Piping Eetension Project (B52)","SABIC","Sabtank Jubail","Plant Services","Jubail","Removal & Installation of Existing piping with new involes Mechanical Construction, Fabrication, Procurement & Scaffolding Activities ","Normal","Completed","Oct-13","Dec-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/323.jpg   "
"Oil & Gas","Cutting & Welding Of  6"" & 3"" Potable Water Line","SABIC","Gas Jubail","Plant Services","Jubail","Removal, Installation & welding of 6"" & 3"" portable water lines","Normal","Completed","Oct-13","Oct-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/324.jpg   "
"Oil & Gas","Removal/installation of Seawater pumps","SABIC / Gas Jubail","LINDE","Plant Services","Jubail","To remove the existing Sea Water Pumps & Install new Sea Water Pumps and their associate piping.","Normal","Completed","Sep-13","Feb-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/325.jpg   "
"Petrochemical","Replacement of Glycol De-hydrator condenser 3E-1407A/B","SABIC","SHARQ","Plant Services","Jubail","Replacement of Glycol De-hydrator condenser 3E-1407A/B","Normal","Completed","Sep-13","Jan-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/326.jpg   "
"Petrochemical","Installing additional valve in Ammonia start up line & Upgrading the existing valve with multi trim valve in IBB Urea Plant ","SABIC","IBN AL-BAYTAR","Plant Services","Jubail","Modification in the existing system along with the Installation of the Valve on Ammonia Start up Line.","Normal","Completed","Aug-13","Apr-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/327.jpg   "
"Petrochemical","Supply, fabrication & delivery of Structural Steel (Circular Platforms)","SADARA","LINDE","Plant Services","Jubail","Procurement, Construction, Fabrication of Steel Structure Circular Plate forms  ","Normal","Completed","Aug-13","Nov-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/328.jpg   "
"Petrochemical","Tie In Jobs","TASNEE","DAR","Plant Services","Jubail","Piping Tie in at different points on different line sizes. (Mechanical Work)","Normal","Completed","Jul-13","Jul-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/329.jpg   "
"Oil & Gas","Luberef – Revamping Works for Heater B1001 (Erection)","LUBREF","KT ARABIA","Plant Services","Yanbu","Revamping work for Heater i.e Installation of pre-fabricated Steel Structure, Ducts, Installtion Of Pumps and associate Piping,  civil foundation works & Intrumentaion work.","Normal","Completed","Jun-13","Dec-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/330.jpg   "
"Oil & Gas","Supply of Steel Structure and Fabrication","LUBREF","KT ARABIA","Plant Services","Yanbu","Procurement & Fabrication of Steel Structure, (Mechanical Works)","Normal","Completed","Jun-13","Dec-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/331.jpg   "
"Oil & Gas","Pin hole in H/EXS need for welding","SABIC","Gas Jubail","Plant Services","Jubail","Repair of pin hole by welding.","Normal","Completed","Jun-13","Jul-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/332.jpg   "
"Petrochemical","Fabrication & Installation of 2051-UF2 Alloy Tank","SABIC","AL-BAYRONI","Plant Services","Jubail","Procurement, Fabrication & Intallation (Mechanical work) for Alloy Tanks","Normal","Completed","Jun-13","Mar-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/333.jpg   "
"Petrochemical","Cable Splicing - HDPE insedint-May 13.","SABIC","SAUDI KAYAN","Electrical & Instrumentation","Jubail","Cable splicing jobs","Normal","Completed","Oct-13","Oct-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/334.jpg   "
"Oil & Gas","Replacement Of Piping & Supports (71-F-142-A/B/C)","SABIC","GAS JUBAIL","Plant Services","Jubail","Installation & Replacement Of Damage Lines","Normal","Completed","Jun-13","Jul-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/335.jpg   "
"Oil & Gas","Replacement Of Valves (41-ST-1641C Valve Arm Broken)","SABIC","GAS JUBAIL","Plant Services","Jubail","Replacement of defective valves with new ones.","Normal","Completed","May-13","Oct-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/336.jpg   "
"Petrochemical","AR-RAZI Replacement Of Piping During Shutdown","SABIC","Ar-Razi","Plant Services","Jubail","Mechanical Piping works","Normal","Completed","May-13","May-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/337.jpg   "
"Metal","Removal & Re-Installation Of Control Valve during S/D 2016","SABIC / HADEED","SAUDI FAL","Plant Services","Jubail","Removal/Re-Installation of Contol Valves During S/D","Normal","Completed","May-13","Jun-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/338.jpg   "
"Oil & Gas","Sea Water Filter Repair","SABIC","GAS YANBU","Plant Services","Yanbu","Mechanical Works","Normal","Completed","May-13","Jun-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/339.jpg   "
"Petrochemical","Bottom Plate Repair & Replacement of 12 Tanks (EG-1 / 2 / 3)","SABIC","SHARQ","Plant Services","Jubail","Procurement, Fabrication & Replacement.(Mechanical Work)","Normal","Completed","May-13","Feb-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/340.jpg   "
"Petrochemical","Replacement of 14 inch piping in RC Corridor","SABIC","SADAF","Plant Services","Jubail","Dismentalling & Re-Insatllation Of Piping along with NDT, Scaffolding & Coating Works","Normal","Completed","May-13","Jun-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/341.jpg   "
"Petrochemical","Replacement Of Jacketed Vent Line During S/D","CHEMANOL","CHEMANOL","Plant Services","Jubail","Piping replacement and modification","Normal","Completed","Apr-13","Jun-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/342.jpg   "
"Petrochemical","Modification Of Kayan Conveying system","SABIC / SAUDI KAYAN","COPERION","Plant Services","Jubail","Supply & Installation of Electrical /Intrumentation Equipments","Normal","Completed","Apr-13","Feb-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/343.jpg   "
"Petrochemical","Piping Job At K.F Port for RTU flow meter ","SABIC / SABTANK","YOKOGAWA","Plant Services","Jubail","Piping replacement & modification","Normal","Completed","Apr-13","May-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/344.jpg   "
"Petrochemical","Installation of Drain Line for LV-22201B (Piping Job)","TASNEE","TASNEE","Plant Services","Jubail","Fabrication & Installation (Mechanical Works) (Aliminium Job)","Normal","Completed","Apr-13","Jun-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/345.jpg   "
"Petrochemical","Heat Exchanger Replacement Job During Shut Down (HP Cooler 6E-1501)","TASNEE","TASNEE","Plant Services","Jubail","Inspection & Repairing (Mechanical Works)","Normal","Completed","Apr-13","May-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/346.jpg   "
"Petrochemical","Refurbishment Of Heater, Ducts & Stack","SABIC","IBN RUSHD","Plant Services","Yanbu","Revamping Of Heater, Re-Installation Of stack, removal & Re-Installation Of Heater Ducts & Re-tubing Of Heater
• Installation of new fabricated stack elevation up to 80 meters
• Dismantling of Heater A.
• Dismantle / Install radiant and convection tubes
• Dismantle / Repair / Install stack connecting ducts
• Removal of damaged stack portion at elevation 40 meters
• Repair outer heater shell
• Scaffolding erection for removal of damaged stack
• Installation of free issued expansion joints.
• All electrical and instrumentation removal and re-installation
• Rolling of free issued plates for heater casing.","Normal","Completed","Mar-13","Sep-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/347.jpg   "
"Petrochemical","Replacement of PCW Heat Exchanger","TASNEE","TASNEE","Plant Services","Jubail","(Mechanicak Works) Installation Of Heat Exchanger","Normal","Completed","Jan-13","Jun-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/348.jpg   "
"Petrochemical","Repair & Replacement Of Reactor Pipe Spool Of 24"", 30"" 42""(Repair for Hydro-Carbon Cactus Branch Flanges  Joint / Repair of Air Register / Repaire of MN 106) During S/D ","SABIC","IBN-SINA","Plant Services","Jubail","Inspection Of 24"" Line and Repair (Mechanical Works)","Normal","Completed","Mar-13","Apr-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/349.jpg   "
"Petrochemical","Benzene Storage Enhancement","SABIC","SADAF","Plant Services","Jubail","Engineering, Procurement & Supply Of Material, Fabrication & Installation (EPC) Of Piping & Equipment.
• At two locations (SADAF & SABTANK) Replace the tank bottom in kind with a new one at 
• Install a leak detection system liner 
• Install new cathodic protection system.
• Contaminated sand beneath tank 
• Replace the contaminated oily sand by sweet sand
• Replace asbestos gaskets 
• Replace elastomeric seal materials
• Civil and E&I works","Normal","Completed","Mar-13","Dec-16","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/350.jpg   "
"Petrochemical","Fabrication of 1 no new HC - inlet Spool During Shut Down.","SABIC","IBN-SINA","Plant Services","Jubail","Removal/Installation of Fabricated Spool & Valve Along With Repairing Of Old Spool,","Normal","Completed","Mar-13","May-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/351.jpg   "
"Petrochemical","Strutural Support works - Weld repairs & Inspection","SABIC","IBN-SINA","Plant Services","Jubail","Structural modification, replacement and re-installation","Normal","Completed","Mar-13","Mar-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/352.jpg   "
"Petrochemical","Fabrication of Spade Blind for TAM 2013","TASNEE","TASNEE","Plant Services","Jubail","Fabrication of spade blind for tAM 2013","Normal","Completed","Feb-13","Jun-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/353.jpg   "
"Petrochemical","New Blind List for fabrication TAM2013","TASNEE","TASNEE","Plant Services","Jubail","Fabrication & Installation (Mechanical Works)","Normal","Completed","Feb-13","Apr-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/354.jpg   "
"Transportation & Infrastructure","Supply of Manpower and Equipment","SAMSUNG","SAMSUNG","Plant Services","Jubail","Mechanical Works (Man power supply)","Normal","Completed","Jan-13","Mar-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/355.jpg   "
"Petrochemical","PP-2 Auto Advancing System Project","SABIC","IBN-ZAHR","Plant Services","Jubail","The project scope includes Mechanical Works, ECI & Cilvil Works for the PP-2 Auto Advancing System Project. ","Normal","Completed","Dec-12","Mar-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/356.jpg   "
"Petrochemical","LSTK Upgrade The Collection & Blow Off Header","SABIC","SADAF","Plant Services","Jubail","Procurement, Detailed Engineering, Construction & Commissioning Project","Normal","Completed","Oct-13","Oct-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/357.jpg   "
"Petrochemical","Ar-Razi V, Parafin Plant Addition & WARB Replacement.","SABIC / Ar-Razi","MHI","Plant Services","Jubail","Mechanical, Heavy Lift, Civil, , Electrical & Instrumentation works for Ar-Razi V, Parafin Plant Addition & WARB Replacement.","Normal","Completed","Jan-13","Mar-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/358.jpg   "
"Petrochemical","Removal and Installation of Various valves at Saudi Chevron During ShutDown.","SAUDI CHEVRON","SAUDI FAL","Plant Services","Jubail","Removal/Re-Installation, Calibrataion of Valves (Mechanical Works)","Normal","Completed","Dec-12","Mar-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/359.jpg   "
"Petrochemical","Replacement Of Heat Exchangers & Piping Modification.","SABIC","SAFCO","Plant Services","Jubail","Heavy Lift, Replacement Of Heat Exchanger & Piping Modification at SF-3","Normal","Completed","Dec-12","Jan-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/360.jpg   "
"Petrochemical","Supply of Manpower","TASNEE","TASNEE","Plant Services","Jubail","Supply of LCS safety officers during TAM 2013","Normal","Completed","Jun-13","Jul-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/361.jpg   "
"Petrochemical","Desgin and Installation Of Steel Platform on Conveyor Belt Station","TASNEE","TASNEE","Plant Services","Jubail","Supply, Fabrication & Intallation, (Mechanical works)","Normal","Completed","Nov-12","Feb-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/362.jpg   "
"Petrochemical","EPC Of Black Powder Filters Project","SABIC","SADAF","Plant Services","Jubail","Engineering, Procurement & Supply Of Material Equipment, 
Fabrication/Construction, Installation & Commisioning (EPC), Mech / Civil / E & I","Normal","Completed","Nov-12","Jul-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/363.jpg   "
"Petrochemical","Fabrication & Installation of Flare KO Drum During ShutDown.","TASNEE","TASNEE","Plant Services","Jubail","Fabrication & Installation (Mechanical Works)","Normal","Completed","Nov-12","Jun-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/364.jpg   "
"Petrochemical","Fabrication Services for Piping/Valve During ShutDown.","CHEMANOL","CHEMANOL","Plant Services","Jubail","Fabrication of Piping, Valve Repair & Replacement 
(Mechanical Works)","Normal","Completed","Jan-13","Aug-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/365.jpg   "
"Petrochemical","Installation of Additional Decanter Unit Project","SABIC / SAUDI KAYAN","TECNIMONT","Electrical & Instrumentation","Jubail","Installation Of Decanter, Piping, Equipment Installation.
(Mechanical, Civil, E & I Works)","Normal","Completed","Oct-12","Sep-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/366.jpg   "
"Petrochemical","MP Steam Line for RA Duct","TASNEE","TASNEE","Plant Services","Jubail","Mechanical Works (Man power supply)","Normal","Completed","Oct-12","Nov-12","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/367.jpg   "
"Petrochemical","Design Fabrication & Installation of Ammonia Line between IBB & Al bayroni","SABIC","AL-BAYRONI","Plant Services","Jubail","Design, Supply, Fabrication, Construction along With Commisioning, (Mechanical, Civil, E & I Works)","Normal","Completed","Aug-12","Mar-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/368.jpg   "
"Oil & Gas","Construction Of Amine Surge Tank & Replacement During S/D.","SAMREF ","SAMREF ","Plant Services","Yanbu","Design, Procurement,
Fabrication & Construction Works","Normal","Completed","Sep-12","Jul-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/369.jpg   "
"Oil & Gas","Repair of Caustic Tank During ShutDown","SAMREF ","SAMREF ","Plant Services","Yanbu","Procurement,
Fabrication & Construction Works","Normal","Completed","Sep-12","Jul-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/370.jpg   "
